duration,station_A_id,station_A_name,station_B_id,station_B_name,bike_id,user_type,user_birth_year,user_gender,tire_sizes
7 minutes,5,Powell St BART Station (Market St at 5th St),323,Broadway at Kearny,4970,Subscriber,1985,Male,29.0
15 minutes,3,Powell St BART Station (Market St at 4th St),133,Valencia St at 22nd St,5523,Subscriber,1982,Female,27.0
12 minutes,3,Powell St BART Station (Market St at 4th St),60,8th St at Ringold St,5349,Subscriber,1993,Male,29.0
3 minutes,22,Howard St at Beale St,284,Yerba Buena Center for the Arts (Howard St at 3rd St),4804,Subscriber,1995,Male,29.0
28 minutes,5,Powell St BART Station (Market St at 5th St),20,Mechanics Monument Plaza (Market St at Bush St),5360,Customer,1936,Female,26.0
14 minutes,16,Steuart St at Market St,4,Cyril Magnin St at Ellis St,5112,Subscriber,1995,Male,26.0
17 minutes,16,Steuart St at Market St,371,Lombard St at Columbus Ave,5286,Subscriber,1982,Female,29.0
18 minutes,16,Steuart St at Market St,371,Lombard St at Columbus Ave,5242,Subscriber,1981,Male,29.0
6 minutes,81,Berry St at 4th St,90,Townsend St at 7th St,472,Subscriber,1977,Male,29.0
13 minutes,30,San Francisco Caltrain (Townsend St at 4th St),323,Broadway at Kearny,5240,Subscriber,1978,Male,27.0
47 minutes,81,Berry St at 4th St,92,Mission Bay Kids Park,4377,Subscriber,1983,Male,27.0
12 minutes,15,San Francisco Ferry Building (Harry Bridges Plaza),22,Howard St at Beale St,209,Subscriber,1985,Other,27.0
57 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),93,4th St at Mission Bay Blvd S,5047,Subscriber,1984,Female,26.0
23 minutes,15,San Francisco Ferry Building (Harry Bridges Plaza),134,Valencia St at 24th St,4929,Subscriber,1974,Male,27.0
11 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),373,Potrero del Sol Park (25th St at Utah St),5246,Subscriber,1986,Male,27.0
2 minutes,21,Montgomery St BART Station (Market St at 2nd St),13,Commercial St at Montgomery St,5575,Subscriber,1975,Male,29.0
8 minutes,5,Powell St BART Station (Market St at 5th St),86,Market St at Dolores St,5036,Subscriber,1969,Male,27.0
4 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),350,8th St at Brannan St,5051,Subscriber,1988,Female,26.0
3 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),90,Townsend St at 7th St,5137,Subscriber,1990,Male,26.0
3 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),50,2nd St at Townsend St,5011,Subscriber,1988,Male,26.0
4 minutes,15,San Francisco Ferry Building (Harry Bridges Plaza),22,Howard St at Beale St,4804,Subscriber,1996,Male,29.0
6 minutes,5,Powell St BART Station (Market St at 5th St),58,Market St at 10th St,1888,Subscriber,1986,Male,27.0
6 minutes,5,Powell St BART Station (Market St at 5th St),58,Market St at 10th St,4773,Subscriber,1997,Female,26.0
12 minutes,5,Powell St BART Station (Market St at 5th St),10,Washington St at Kearny St,5226,Subscriber,1998,Female,27.0
12 minutes,5,Powell St BART Station (Market St at 5th St),10,Washington St at Kearny St,5307,Subscriber,1998,Female,27.0
6 minutes,3,Powell St BART Station (Market St at 4th St),343,Bryant St at 2nd St,5392,Subscriber,1988,Female,29.0
6 minutes,3,Powell St BART Station (Market St at 4th St),343,Bryant St at 2nd St,4748,Subscriber,1990,Male,27.0
7 minutes,21,Montgomery St BART Station (Market St at 2nd St),50,2nd St at Townsend St,1453,Subscriber,1974,Female,26.0
19 minutes,21,Montgomery St BART Station (Market St at 2nd St),109,17th St at Valencia St,4939,Customer,1995,Female,26.0
9 minutes,16,Steuart St at Market St,66,3rd St at Townsend St,5464,Subscriber,1980,Male,27.0
19 minutes,67,San Francisco Caltrain Station 2  (Townsend St at 4th St),15,San Francisco Ferry Building (Harry Bridges Plaza),4929,Subscriber,1988,Male,27.0
8 minutes,3,Powell St BART Station (Market St at 4th St),58,Market St at 10th St,5440,Subscriber,1982,Male,27.0
9 minutes,16,Steuart St at Market St,321,5th St at Folsom,5528,Subscriber,1990,Male,26.0
12 minutes,3,Powell St BART Station (Market St at 4th St),76,McCoppin St at Valencia St,4955,Subscriber,1973,Female,27.0
